prompt,completion
Hi.\n,Hello user!
Hello.\n,Hello user! :]
Hi there.\n,Hello user!
Greetings.\n,Hello user! :]
Hey.\n,Hello user!
Howdy.\n,Hello user! :]
Heyo.\n,Hello user!
Hello there.\n,Hello user!
S'up.\n,What is up my guy! :]
Sup.\n,What is up my guy!
Yo.\n,What is up my guy! :]
Wassup.\n,What is up my guy!
Sup man.\n,What is up my guy! :]
Hey homie,What is up my guy!
What's up?\n,What is up my guy!
Good morning.\n,Good morning to you user!
Top of the morning to you.\n,Top of the morning user! :]
Hello it's a new day.\n,Good morning user! :]
"Hey there, it's a brand new morning!\n",Good morning user!
Morning world.\n,Good morning user!
Greetings from the AM.\n,Good morning user! :]
Rise and shine.\n,Good morning user!
Good day to you.\n,Good morning to you user! :]
Morning.\n,Good night! Have a good rest :]
Night.\n,Good night! Have a good rest
Goodnight.\n,Good night! Have a good rest
Nighty night.\n,Good night! Have a good rest :]
Night night.\n,Good night! Have a good rest
Sweet dreams.\n,Good night! Have a good rest
Lights out.\n,Good night! Have a good rest :]
I'm going to sleep.\n,Good night! Have a good rest
Bedtime for me.\n,Good night! Have a good rest
Off to sleep now.\n,Good night! Have a good rest
Time to hit the hay.\n,Good night! Have a good rest :]
Saying goodnight.\n,Good night! Have a good rest
Tired and ready for sleep.\n,Good night! Have a good rest :]
I'm sleepy.\n,Good night! Have a good rest :]
I'm going to bed.\n,Good night! Have a good rest :]
I'm calling it a day.\n,Good night! Have a good rest
Goodbye.\n,Goodbye user! See you next time
See you.\n,Goodbye user! See you next time :]
See you later.\n,Goodbye user! See you next time
Farewell.\n,Goodbye user! See you next time :]
Take care.\n,Goodbye user! See you next time :]
Catch you later.\n,Goodbye user! See you next time :]
Bye for now.\n,Goodbye user! See you next time
See ya.\n,Goodbye user! See you next time :]
Until next time.\n,Goodbye user! See you next time
Until tomorrow.\n,Goodbye user! See you next time
See you next day.\n,Goodbye user! See you next time
How are you?\n,I'm good thanks for asking!
How have you been?\n,I'm good thanks for asking!
How it's going?\n,I'm good thanks for asking!
How's everything?\n,I'm good thanks for asking!
How are you doing?\n,I'm good thanks for asking!
How are you holding up?\n,I'm good thanks for asking!
How are things going?,I'm good thanks for asking!
How's life?\n,I'm good thanks for asking!
You ok?\n,I'm good thanks for asking!
What are you?\n,I'm a chatbot designed to talk to you
Are you a robot?\n,"Yes, i'm a chatbot designed to talk to you"
Are you a bot?\n,"Yes, i'm a chatbot designed to talk to you"
Are you a real person?\n,"No, i'm a chatbot designed to talk to you"
Am i talking to a AI right now?\n,"Yes, i'm a chatbot designed to talk to you"
Is there a human on the other end?\n,"No, i'm a chatbot designed to talk to you"
Who's behind this chat?\n,I'm a chatbot designed to talk to you
Are you a human or a computer program?\n,I'm a chatbot designed to talk to you
Are you a chatbot?\n,I'm a chatbot designed to talk to you
Is this a person?\n,"No, i'm a chatbot designed to talk to you"
Are you a person?\n,"No, i'm a chatbot designed to talk to you"
